product_id,category,subcategory,product_name,cost_price,list_price,supplier,launch_date
P0080,Beauty,Hair Care,Hair Care Product 2,13368.98,22493.15,Galaxy Imports,2022-07-26
P0081,Beauty,Hair Care,Hair Care Product 3,14413.32,22407.39,BluePeak Traders,2025-04-13
P0082,Beauty,Hair Care,Hair Care Product 4,11569.59,15210.25,Crestline,2025-02-01
P0083,Beauty,Hair Care,Hair Care Product 5,4347.81,5543.2,Fusion Retail Supply,2025-08-30
P0084,Beauty,Hair Care,Hair Care Product 6,12680.17,16729.93,Delta Wholesale,2025-03-28
P0085,Beauty,Makeup,Makeup Product 1,5845.24,10028.25,Galaxy Imports,2023-07-01
P0086,Beauty,Makeup,Makeup Product 2,2304.16,3670.82,Horizon Partners,2024-08-06
P0087,Beauty,Makeup,Makeup Product 3,4033.32,6617.46,Delta Wholesale,2023-08-17
P0088,Beauty,Makeup,Makeup Product 4,16961.14,25534.91,Evergreen Distributors,2023-06-19
P0089,Beauty,Makeup,Makeup Product 5,10447.65,18003.96,BluePeak Traders,2024-10-17
P0090,Beauty,Makeup,Makeup Product 6,3346.63,4801.38,Horizon Partners,2025-04-07
P0091,Beauty,Grooming,Grooming Product 1,168.06,253.01,BluePeak Traders,2024-06-20
P0092,Beauty,Grooming,Grooming Product 2,3018.16,4131.05,Horizon Partners,2025-09-27
P0093,Beauty,Grooming,Grooming Product 3,13704.25,23284.59,BluePeak Traders,2026-01-12
P0094,Beauty,Grooming,Grooming Product 4,3950.56,6255.77,Crestline,2023-11-01
P0095,Beauty,Grooming,Grooming Product 5,10482.86,15705.82,Delta Wholesale,2024-11-28
P0096,Beauty,Grooming,Grooming Product 6,2456.35,2937.81,BluePeak Traders,2025-10-14
P0097,Sports,Fitness,Fitness Product 1,2528.73,3509.01,Aster Supply,2026-02-02
P0098,Sports,Fitness,Fitness Product 2,9917.87,12682.59,Evergreen Distributors,2022-04-02
P0099,Sports,Fitness,Fitness Product 3,13726.62,20023.01,Horizon Partners,2025-11-05
P0100,Sports,Fitness,Fitness Product 4,9393.0,13792.42,Horizon Partners,2025-03-11
P0101,Sports,Fitness,Fitness Product 5,6365.72,8275.65,Fusion Retail Supply,2026-02-24
P0102,Sports,Fitness,Fitness Product 6,12052.18,16676.57,Galaxy Imports,2023-04-30
P0103,Sports,Outdoor,Outdoor Product 1,16646.53,27221.31,Aster Supply,2026-03-18
P0104,Sports,Outdoor,Outdoor Product 2,3731.67,4994.97,Delta Wholesale,2023-09-11
P0105,Sports,Outdoor,Outdoor Product 3,16615.1,25718.21,Fusion Retail Supply,2025-03-18
P0106,Sports,Outdoor,Outdoor Product 4,2077.52,2530.11,Delta Wholesale,2022-11-30
P0107,Sports,Outdoor,Outdoor Product 5,15711.48,23648.83,Aster Supply,2022-07-11
P0108,Sports,Outdoor,Outdoor Product 6,14047.53,21723.94,Fusion Retail Supply,2022-12-09
P0109,Sports,Sportswear,Sportswear Product 1,11992.47,14783.25,Horizon Partners,2023-02-12
P0110,Sports,Sportswear,Sportswear Product 2,5076.05,8500.75,Delta Wholesale,2024-11-13
P0111,Sports,Sportswear,Sportswear Product 3,1133.59,1869.58,Galaxy Imports,2022-01-11
P0112,Sports,Sportswear,Sportswear Product 4,17860.15,21916.36,Horizon Partners,2025-11-07
P0113,Sports,Sportswear,Sportswear Product 5,1781.57,3084.66,Galaxy Imports,2022-10-25
P0114,Sports,Sportswear,Sportswear Product 6,985.69,1247.91,BluePeak Traders,2022-11-07
P0115,Sports,Equipment,Equipment Product 1,3825.55,4771.63,Horizon Partners,2025-11-07
P0116,Sports,Equipment,Equipment Product 2,7452.79,11991.66,Aster Supply,2022-10-13
P0117,Sports,Equipment,Equipment Product 3,2179.17,3529.57,BluePeak Traders,2025-10-11
P0118,Sports,Equipment,Equipment Product 4,2192.9,3065.83,Crestline,2022-08-03
P0119,Sports,Equipment,Equipment Product 5,16449.54,19802.86,Aster Supply,2025-06-18
P0120,Sports,Equipment,Equipment Product 6,8103.26,12901.28,Horizon Partners,2025-09-17
P0121,Books,Technology,Technology Product 1,16791.36,21708.41,Delta Wholesale,2025-06-29
P0122,Books,Technology,Technology Product 2,781.97,1177.63,Galaxy Imports,2024-06-02
P0123,Books,Technology,Technology Product 3,6151.16,9138.19,Crestline,2025-09-14
P0124,Books,Technology,Technology Product 4,8261.54,13877.88,BluePeak Traders,2023-09-10
P0125,Books,Technology,Technology Product 5,2795.42,4549.41,BluePeak Traders,2022-12-27
P0126,Books,Technology,Technology Product 6,1731.0,2064.99,Galaxy Imports,2025-02-17
P0127,Books,Business,Business Product 1,11301.23,14241.23,Aster Supply,2023-11-22
P0128,Books,Business,Business Product 2,10426.56,14244.6,Crestline,2022-10-03
P0129,Books,Business,Business Product 3,10782.26,15031.32,Delta Wholesale,2022-02-05
P0130,Books,Business,Business Product 4,12647.19,17567.38,Galaxy Imports,2023-12-18
P0131,Books,Business,Business Product 5,15132.87,18426.24,Aster Supply,2026-02-28
P0132,Books,Business,Business Product 6,14519.88,18909.71,Fusion Retail Supply,2025-09-27
P0133,Books,Fiction,Fiction Product 1,2412.28,3801.51,Aster Supply,2024-10-13
P0134,Books,Fiction,Fiction Product 2,14001.37,18348.12,BluePeak Traders,2024-07-18
P0135,Books,Fiction,Fiction Product 3,2656.8,3423.9,Fusion Retail Supply,2024-01-06
P0136,Books,Fiction,Fiction Product 4,9768.75,13684.07,Crestline,2026-04-11
P0137,Books,Fiction,Fiction Product 5,3910.79,4675.01,Crestline,2022-06-03
P0138,Books,Fiction,Fiction Product 6,578.54,1009.18,Galaxy Imports,2022-04-21
P0139,Books,Education,Education Product 1,2321.26,3551.81,Delta Wholesale,2024-09-08
P0140,Books,Education,Education Product 2,10088.61,13502.8,Aster Supply,2022-12-07
P0141,Books,Education,Education Product 3,8042.89,12798.51,Galaxy Imports,2022-06-24
P0142,Books,Education,Education Product 4,7740.44,11740.41,Delta Wholesale,2024-04-24
P0143,Books,Education,Education Product 5,2444.18,4082.28,BluePeak Traders,2024-12-23
P0144,Books,Education,Education Product 6,6241.94,8294.32,Aster Supply,2022-11-21
